#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ca_mushroom;Mushroom Farm;Ferme de Champignons;;;;;x
ca_mushroom_desc;Halflings love their mushrooms;Les Hobbits raffolent des champignons!;;;;;x
ca_tobacco_desc;The finest weed in the four farthings;La meilleure herbe de tout le pays!;;;;;x
ca_tobacco;Tobacco farm;Ferme de Tabac;;;;;x
ct_mushroom;Mushroom Farm;Ferme de Champignons;;;;;x
ct_mushroom_desc;Halflings love their mushrooms;Les Hobbits raffolent des champignons!;;;;;x
ct_tobacco_desc;The finest weed in the four farthings;;;;;;x
ct_tobacco;Tobacco farm;La meilleure herbe de tout le pays!;;;;;x
ct_barracks_1halfling_desc;Halflings have Sheriffs to police their lands.;Ferme de Tabac;;;;;x
ct_barracks_1halfling;Sheriff's Offices;Bureau du Shiriff;;;;;x
ct_barracks_2halfling;Sheriff's Offices;Bureau du Shiriff;;;;;x
ct_barracks_3halfling;Sheriff's Offices;Bureau du Shiriff;;;;;x
ca_militia_barracks_1halfling_desc;Sheriffs patrol the lands and keep out troublemakers.;Les Shiriffs patrouillent et écartent les fauteurs de trouble.;;;;;x
ca_militia_barracks_1halfling;Sheriff's Patrol;Patrouille de Shiriffs;;;;;x
ca_militia_barracks_2halfling;Sheriff's Patrol;Patrouille de Shiriffs;;;;;x
ca_town_1halfling_desc;Halfling villages are vibrant and productive;Les Villages hobbits sont vivants et productifs.;;;;;x
ca_town_1halfling;Halfling Village;Petit trou de Hobbit;;;;;x
ca_town_2halfling;Halfling Village;Trou de Hobbit;;;;;x
ca_town_3halfling;Halfling Village;Petit Village Hobbit;;;;;x
ca_town_4halfling;Halfling Village;Village Hobbit Moyen;;;;;x
ca_town_5halfling;Halfling Village;Grand Village Hobbit;;;;;x
ca_town_6halfling;Halfling Village;Carrefour du Commerce des Hobbits;;;;;x
ca_halflinginn;Halfling Inn;Auberge Hobbit;;;;;x
ca_halflinginn_desc;Halflings love their fine ale;Les Hobbits raffolent de leurs délicieuses bières.;;;;;x
ct_prancing_pony;The Prancing Pony Inn;Le Poney Fringant;;;;;x
ct_prancing_pony_desc;The Prancing Pony was built long before the time of the War of the Ring, when traffic on the roads had been much greater. Despite diminished numbers of visitors the inn remains an important center of news, as Bree lies at the crossroads of the Great East Road and the Greenway, which came up from the south and went onwards to Fornost.;Le Poney Fringant a été construit bien avant l'époque de la Guerre de l'Anneau, lorsque le trafic sur les routes était beaucoup plus important. Malgré un nombre réduit de visiteurs, l'auberge est resté un important point de rencontres, Bree étant au carrefour de la Grande Route de l'Est et la Voie Verte, qui vient du Sud jusqu'à Fornost.;;;;;x
ca_prancing_pony;The Prancing Pony Inn;Le Poney Fringant;;;;;x
ca_prancing_pony_desc;The Prancing Pony was built long before the time of the War of the Ring, when traffic on the roads had been much greater. Despite diminished numbers of visitors the inn remains an important center of news, as Bree lies at the crossroads of the Great East Road and the Greenway, which came up from the south and went onwards to Fornost.;Le Poney Fringant a été construit bien avant l'époque de la Guerre de l'Anneau, lorsque le trafic sur les routes était beaucoup plus important. Malgré un nombre réduit de visiteurs, l'auberge est resté un important point de rencontres, Bree étant au carrefour de la Grande Route de l'Est et la Voie Verte, qui vient du Sud jusqu'à Fornost.;;;;;x
ct_inn1;Small Inn;Petite Auberge;;;;;x;;;;;;;;;
ct_inn1_desc;This Inn is large enough to accommodate a few tired travelers.;Cette auberge est suffisamment grande pour accueillir quelques voyageurs fatigués.;;;;;x;;;;;;;;;
ct_inn2;Inn;Auberge;;;;;x;;;;;;;;;
ct_inn2_desc;This inn is a standard size and is able to accommodate both travelers and locals, and to provide good meals and ale to its customers.;Cette auberge est de taille standard, capable d'accueillir les voyageurs comme les habitants de la région, et fournit de bons repas à ses clients.;;;;;x;;;;;;;;;
ct_inn3;Large Inn;Grande Auberge;;;;;x;;;;;;;;;
ct_inn3_desc;This large inn is renowned locally, and offers high quality food and drink to its customers. It's name is known throughout the realm, and many travellers spend the night, sharing tall tales over pints of ale.;Cette grande auberge est réputée bien des lieux à la ronde, et offre des produits de première qualité à ses clients.;;;;;x;;;;;;;;;
