#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;;;;;;;;x
abdicate_throne;Abdicate the Throne;Abdiquer;;;Abdica al Trono;;;;;;;;;x
abdicate_throne_desc;You're no longer in your prime, and it may be time to leave the throne to your heir. Once the abdication is complete, you will continue playing as your current heir.;Vous n'êtes pas tout jeune, et il est peut-être temps de laisser le trône à votre héritier. ;;;Non sei più vigoroso e forte come un tempp, forse è giunta l'ora di abdicare in favore de ltuo erede. Abdicando, giocherai nei panni del tuo erede.;;;;;;;;;x
abd_ask;Will gain all of your titles and ascend to the throne.;Va gagner tous vos titres et monter sur le trône;;;Guadagnerà tutti i tuoi titoli e salirà sul trono.;;;;;;;;;x
ABD.001.DESC;[From.GetTitledName] has decided to offer you the throne, as they have chosen to abdicate.;[From.GetTitledName] a décidé de renoncer à son trône, et en tant que son digne héritier, c'est à vous de le remplacer.;;;[From.GetTitledName] ha deciso di affidarti il trono, abdicando in tuo favore.;;;;;;;;;x
ABD.001.A;I accept this tremendous honour.;J'accepte cet honneur;;;Accetto questo enorme onore.;;;;;;;;;x
ABD.002.DESC;[From.GetTitledName] has accepted your gracious offer of abdication, and assumes your throne and all titles forthwith.;[From.GetTitledName] a accepté de prendre votre place, et vous remercie de l'honneur que vous lui faites.;;;[From.GetTitledName] ha accettato la tua offerta di abdicazione e sarà certamente felice di assumere il trono e tutti i tuoi titoli.;;;;;;;;;x
ABD.002.A;So be it.;Ainsi soit-il.;;;Così sia.;;;;;;;;;x
abdicate_throne_numenorean;Abdicate the Throne;Abdiquer;;;Abdica al Trono;;;;;;;;;x
abdicate_throne_numenorean_desc;You're no longer in your prime, and it may be time to leave the throne to your heir. Once the abdication is complete, you will continue playing as your current heir.;Vous n'êtes pas tout jeune, et il est peut-être temps de laisser le trône à votre héritier. ;;;Non sei più vigoroso e forte come un tempp, forse è giunta l'ora di abdicare in favore de ltuo erede. Abdicando, giocherai nei panni del tuo erede.;;;;;;;;;x
abdicate_throne_elf;Abdicate the Throne;Abdiquer;;;Abdica al Trono;;;;;;;;;x
abdicate_throne_elf_desc;You're no longer in your prime, and it may be time to leave the throne to your heir. Once the abdication is complete, you will continue playing as your current heir.;Vous n'êtes pas tout jeune, et il est peut-être temps de laisser le trône à votre héritier. ;;;Non sei più vigoroso e forte come un tempp, forse è giunta l'ora di abdicare in favore de ltuo erede. Abdicando, giocherai nei panni del tuo erede.;;;;;;;;;x
abdicate_throne_dwarves;Abdicate the Throne;Abdiquer;;;Abdica al Trono;;;;;;;;;x
abdicate_throne_dwarves_desc;You're no longer in your prime, and it may be time to leave the throne to your heir. Once the abdication is complete, you will continue playing as your current heir.;Vous n'êtes pas tout jeune, et il est peut-être temps de laisser le trône à votre héritier. ;;;Non sei più vigoroso e forte come un tempp, forse è giunta l'ora di abdicare in favore de ltuo erede. Abdicando, giocherai nei panni del tuo erede.;;;;;;;;;x
