#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTknoldor.1;Claim the High Kingship of the Noldor;Réclamer la Couronne des Noldor;;;;;;;;;;;;;x
EVTDESCknoldor.1;You restored the Kingdom of Celebrimbor, and you're a true heir of the Noldor Kings. Do you want to ask Galadriel, the only character in Middle-Earth who can claim this crown, to allow you to take this throne?;Vous avez réstoré le Royaume de Celebrimbor, et vous êtes un des héritiers de la Couronne des Noldor. Allez-vous demander à Galadriel, la seule en Terre du Milieu à encore pouvoir réclamer ce titre, afin qu'elle vous autorise à devenir le Haut-Roi des Noldor?;;;;;;;;;;;;;x
EVTOPTAknoldor.1;I'll claim the High Kingship !;Je réclame la Royauté!;;;;;;;;;;;;;x
EVTOPTBknoldor.1;I won't claim it!;Non, ce n'est pas le moment.;;;;;;;;;;;;;x
EVTknoldor.2;An High King for the Noldor?;Un Haut-Roi pour les Noldor?;;;;;;;;;;;;;x
EVTDESCknoldor.2;My Lady, there's a King in Eregion now, as it was some millenary ago. He's an heir of the former High Kings, and he ask you now to allow him to take the Crown of High King of the Noldor. What will you say?;Ma Dame, il y a de nouveau un Roi en Eregion, comme il y a plusieurs millénaires de cela. Il est héritier des Rois de jadis, et souhaite que vous lui accordiez le droit de prendre la Couronne de Haut-Roi des Noldor. Qu'allez-vous lui répondre?;;;;;;;;;;;;;x
EVTOPTAknoldor.2;He'll be a True King!;Il sera un Grand Roi!;;;;;;;;;;;;;x
EVTOPTBknoldor.2;No more Kings for the Noldor!;Plus jamais de Rois pour les Noldor!;;;;;;;;;;;;;x
EVTknoldor.3;Crown of an High King!;Couronnement d'un Haut-Roi!;;;;;;;;;;;;;x
EVTDESCknoldor.3;The last High King of the Noldor was Gil-Galad, and he was killed during the Last Alliance. Since, no elves were able to claim this title. But you came, and now, you'll restore the glory of the Noldor !;Le dernier Haut-Roi des Noldor était Gil-Galad, mais il a péri durant la Dernière Alliance. Depuis, aucun des votres n'était en position de réclamer la couronne… Mais vous êtes venu, et vous pouvez enfin restorer la Gloire des Noldor! ;;;;;;;;;;;;;x
EVTOPTAknoldor.3;I'm the Heir of the throne of Fëanor!;Je suis l'Héritier du Trône de Fëanor!;;;;;;;;;;;;;x
EVTknoldor.4;No crown?;Pas de couronne?;;;;;;;;;;;;;x
EVTDESCknoldor.4;A letter came from Galadriel, and she told you that Middle-Earth don't need an High-King of the Noldor anymore. She ask you to don't claim anymore this title, for the good of all.;Une lettre est venue de Galadriel, et elle vous annonce qu'à son avis, la Terre du Milieu n'a plus besoin d'un Haut-Roi des Noldor. Elle vous demande d'abandonner cette idée, pour le bien de tous.;;;;;;;;;;;;;x
EVTOPTAknoldor.4;I'll take the crown anyway!;Je vais me couronner malgré tout.;;;;;;;;;;;;;x
EVTOPTBknoldor.4;No more Kings for the Noldor!;Plus jamais de Rois pour les Noldor!;;;;;;;;;;;;;x
EVTDESCknoldor.5;Elrond has taken up his crown, and it is time for you to swear allegiance to him.;@FIXME@ Elrond has taken up his crown, and it is time for you to swear allegiance to him.;;;;;;;;;;;;;x
EVTOPTAknoldor.5;I swear...;@FIXME@ I swear...;;;;;;;;;;;;;x
EVTDESCknoldor.6;With Sauron defeated, hope is renewed for the Elves. Your sons wish to rule lands of their own, and together with the elven smiths remaining, restore the glories of old Eregion here in the 4th Age.;@FIXME@ With Sauron defeated, hope is renewed for the Elves. Your sons wish to rule lands of their own, and together with the elven smiths remaining, restore the glories of old Eregion here in the 4th Age.;;;;;;;;;;;;;x
EVTOPTAknoldor.6;A good idea!;@FIXME@ A good idea!;;;;;;;;;;;;;x
EVTOPTBknoldor.6;No, that is a bad idea.;@FIXME@ No, that is a bad idea.;;;;;;;;;;;;;x
EVTDESCknoldor.7;Word reaches you that the sons of Elrond are planning to reclaim the ancient realm of Eregion, and make it a kingdom of the Noldor once again.;@FIXME@ Word reaches you that the sons of Elrond are planning to reclaim the ancient realm of Eregion, and make it a kingdom of the Noldor once again.;;;;;;;;;;;;;x
EVTOPTAknoldor.7;They better not make any more rings!;@FIXME@ They better not make any more rings!;;;;;;;;;;;;;x
EVTOPTBknoldor.7;Well good luck to them.;@FIXME@ Well good luck to them.;;;;;;;;;;;;;x
EVTOPTCknoldor.7;Why don't they just sail west already?;@FIXME@ Why don't they just sail west already?;;;;;;;;;;;;;x
EVTknoldor.8;Crown of an High King!;Couronnement d'un Haut-Roi!;;;;;;;;;;;;;x
EVTDESCknoldor.8;The last High King of the Noldor was Gil-Galad, and he was killed during the Last Alliance. Since the departure of Galadriel from Lorien, no elves were able to claim this title. But you came, and now, you'll restore the glory of the Noldor !;Le dernier Haut-Roi des Noldor était Gil-Galad, mais il a péri durant la Dernière Alliance. Depuis le départ de Galadriel de la Lorien, aucun des votres n'était en position de réclamer la couronne… Mais vous êtes venu, et vous pouvez enfin restorer la Gloire des Noldor! ;;;;;;;;;;;;;x
EVTOPTAknoldor.8;I'm the Heir of the throne of Fëanor!;Je suis l'Héritier du Trône de Fëanor!;;;;;;;;;;;;;x
