#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
W_L_24;http://tolkiengateway.net/wiki/Theoden;;;;;;;;;;;;x;
W_L_25;http://tolkiengateway.net/wiki/Theodred;;;;;;;;;;;;x;
W_L_27;http://tolkiengateway.net/wiki/%C3%89omer;;;;;;;;;;;;x;
W_L_28;http://tolkiengateway.net/wiki/Eowyn;;;;;;;;;;;;x;
W_L_1943;http://tolkiengateway.net/wiki/Denethor;;;;;;;;;;;;x;
W_L_1944;http://tolkiengateway.net/wiki/Boromir;;;;;;;;;;;;x;
W_L_1945;http://tolkiengateway.net/wiki/Faramir;;;;;;;;;;;;x;
W_L_3001;http://tolkiengateway.net/wiki/Earendil;;;;;;;;;;;;x;
W_L_3002;http://tolkiengateway.net/wiki/Elwing;;;;;;;;;;;;x;
W_L_3003;http://tolkiengateway.net/wiki/Elrond;;;;;;;;;;;;x;
W_L_3004;http://tolkiengateway.net/wiki/Elros;;;;;;;;;;;;x;
W_L_3005;http://tolkiengateway.net/wiki/Celeborn;;;;;;;;;;;;x;
W_L_3006;http://tolkiengateway.net/wiki/Galadriel;;;;;;;;;;;;x;
W_L_3007;http://tolkiengateway.net/wiki/Celebr%C3%ADan;;;;;;;;;;;;x;
W_L_4040;http://tolkiengateway.net/wiki/Thorin;;;;;;;;;;;;x;
W_L_4043;http://tolkiengateway.net/wiki/D%C3%A1in_Ironfoot;;;;;;;;;;;;x; #DAIN II
W_L_4044;http://tolkiengateway.net/wiki/Balin;;;;;;;;;;;;x;
W_L_8028;http://tolkiengateway.net/wiki/Peregrin_Took;;;;;;;;;;;;x;
W_L_8041;http://tolkiengateway.net/wiki/Meriadoc_Brandybuck;;;;;;;;;;;;x;
W_L_8065;http://tolkiengateway.net/wiki/Bilbo;;;;;;;;;;;;x;
W_L_8079;http://tolkiengateway.net/wiki/Frodo_Baggins;;;;;;;;;;;;x;
W_L_8104;http://tolkiengateway.net/wiki/Fredegar_Bolger;;;;;;;;;;;;x;
W_L_8140;http://tolkiengateway.net/wiki/Samwise_Gamgee;;;;;;;;;;;;x;
W_L_8190;http://tolkiengateway.net/wiki/Gollum;;;;;;;;;;;;x;
W_L_10001;http://tolkiengateway.net/wiki/Manwe;;;;;;;;;;;;x;
W_L_10002;http://tolkiengateway.net/wiki/Varda;;;;;;;;;;;;x;
W_L_10003;http://tolkiengateway.net/wiki/Aule;;;;;;;;;;;;x;
W_L_10004;http://tolkiengateway.net/wiki/Yavanna;;;;;;;;;;;;x;
W_L_10005;http://tolkiengateway.net/wiki/Ulmo;;;;;;;;;;;;x;
W_L_10006;http://tolkiengateway.net/wiki/Nienna;;;;;;;;;;;;x;
W_L_10007;http://tolkiengateway.net/wiki/Mandos;;;;;;;;;;;;x;
W_L_10008;http://tolkiengateway.net/wiki/Vaire;;;;;;;;;;;;x;
W_L_10009;http://tolkiengateway.net/wiki/Irmo;;;;;;;;;;;;x;
W_L_10010;http://tolkiengateway.net/wiki/Este;;;;;;;;;;;;x;
W_L_10011;http://tolkiengateway.net/wiki/Orome;;;;;;;;;;;;x;
W_L_10012;http://tolkiengateway.net/wiki/Vana;;;;;;;;;;;;x;
W_L_10013;http://tolkiengateway.net/wiki/Tulkas;;;;;;;;;;;;x;
W_L_10014;http://tolkiengateway.net/wiki/Nessa;;;;;;;;;;;;x;
W_L_10015;http://tolkiengateway.net/wiki/Morgoth;;;;;;;;;;;;x;
W_L_10016;http://tolkiengateway.net/wiki/Sauron;;;;;;;;;;;;x;
W_L_10031;http://tolkiengateway.net/wiki/Radagast;;;;;;;;;;;;x;
W_L_10032;http://tolkiengateway.net/wiki/Saruman;;;;;;;;;;;;x;
W_L_10033;http://tolkiengateway.net/wiki/Gandalf;;;;;;;;;;;;x;
W_L_12223;http://tolkiengateway.net/wiki/Witchking;;;;;;;;;;;;x;
W_L_17123;http://tolkiengateway.net/wiki/Khamul;;;;;;;;;;;;x;
